store,city,product_id,name,brand,category,subcategory,price,sale_price,currency,quantity,unit,price_per_unit,in_stock,image_url,product_url,barcode,description,scraped_at,extra,_store,_city,_scraped_at
metro,faisalabad,406497,"HAIER 65"" GOOGLE 4K TV 65K85",Haier,Home Appliances,,177900.0,189900.0,PKR,1.0,pcs,177900.0,True,https://metro-b2c.s3.amazonaws.com/Products/1758800969389.jpg,https://www.metro-online.pk/product/406497,94893449,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 4, 'vat_perc': 18, 'mrp_price': 160932.0, 'article_mgb': 343670}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
metro,faisalabad,406486,"HAIER 55"" GOOGLE 4K TV 55K85",Haier,Home Appliances,,109900.0,119900.0,PKR,1.0,pcs,109900.0,True,https://metro-b2c.s3.amazonaws.com/Products/1758800860163.jpg,https://www.metro-online.pk/product/406486,94893446,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 2, 'vat_perc': 18, 'mrp_price': 101610.0, 'article_mgb': 343669}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
metro,faisalabad,415960,Enviro Gas Geyser Egwh-600 6L,Enviro,Home Appliances,,16999.0,21999.0,PKR,1.0,pcs,16999.0,True,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1763717439710.jpg,https://www.metro-online.pk/product/415960,25021888,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 51, 'vat_perc': 18, 'mrp_price': 18643.0, 'article_mgb': 340377}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
metro,faisalabad,415981,Anex Ceramic Fan Heater 5014,Anex,Home Appliances,,9999.0,10500.0,PKR,1.0,pcs,9999.0,True,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1763642349701.jpg,https://www.metro-online.pk/product/415981,25021891,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 15, 'vat_perc': 25, 'mrp_price': 8400.0, 'article_mgb': 341570}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
metro,faisalabad,404751,Enviro Ac 1 Ton Inverter T3 Eac-12Hc,Enviro,Home Appliances,,114999.0,113900.0,PKR,1.0,pcs,114999.0,True,https://metro-b2c.s3.amazonaws.com/Products/1755770608813.jpg,https://www.metro-online.pk/product/404751,10854652,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 2, 'vat_perc': 18, 'mrp_price': 108474.0, 'article_mgb': 342368}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
metro,faisalabad,402965,HAIER AC 1.5T H&C INV 18/19RF,Haier,Home Appliances,,122900.0,128000.0,PKR,1.0,pcs,122900.0,True,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1741325740719.jpg,https://www.metro-online.pk/product/402965,25677224,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 5, 'vat_perc': 18, 'mrp_price': 108475.0, 'article_mgb': 341913}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
metro,faisalabad,402954,HAIER AC 1TON H&C INV 12/13RF,Haier,Home Appliances,,99900.0,108000.0,PKR,1.0,pcs,99900.0,True,https://metro-b2c.s3.amazonaws.com/Products/1741325672824.jpg,https://www.metro-online.pk/product/402954,25602010,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 5, 'vat_perc': 18, 'mrp_price': 91525.0, 'article_mgb': 341911}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
metro,faisalabad,403096,HYU 1.T INV BRIO HAC-12 WIFI,Hyundai,Home Appliances,,129900.0,144900.0,PKR,1.0,pcs,129900.0,True,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1742369442543.jpg,https://www.metro-online.pk/product/403096,68114875,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 6, 'vat_perc': 18, 'mrp_price': 122797.0, 'article_mgb': 342068}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
metro,faisalabad,327955,HZone 12 Ltr Geyser,,Home Appliances,,25212.0,28499.0,PKR,,,,True,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12635537-0-M.jpg,https://www.metro-online.pk/product/327955,12635537,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 2, 'vat_perc': 18, 'mrp_price': 24152.0, 'article_mgb': 319417}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
metro,faisalabad,408767,Philips Air Purifier AC920/10,Philips,Home Appliances,,44900.0,46900.0,PKR,1.0,pcs,44900.0,True,https://metro-b2c.s3.amazonaws.com/Products/1761731127075.jpg,https://www.metro-online.pk/product/408767,25822626,,2026-03-11T11:14:57.117065+00:00,"{'store_id': 15, 'available_stock': 5, 'vat_perc': 18, 'mrp_price': 59321.0, 'article_mgb': 343847}",metro,faisalabad,2026-03-11T11:14:57.117065+00:00
