store,city,product_id,name,brand,category,subcategory,price,sale_price,currency,quantity,unit,price_per_unit,in_stock,image_url,product_url,barcode,description,scraped_at,extra,_store,_city,_scraped_at
metro,multan,406499,"HAIER 65"" GOOGLE 4K TV 65K85",Haier,Home Appliances,,177900.0,189900.0,PKR,1.0,pcs,177900.0,True,https://metro-b2c.s3.amazonaws.com/Products/1758800969389.jpg,https://www.metro-online.pk/product/406499,94893449,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 2, 'vat_perc': 18, 'mrp_price': 160932.0, 'article_mgb': 343670}",metro,multan,2026-03-11T11:15:01.790093+00:00
metro,multan,406488,"HAIER 55"" GOOGLE 4K TV 55K85",Haier,Home Appliances,,109900.0,119900.0,PKR,1.0,pcs,109900.0,True,https://metro-b2c.s3.amazonaws.com/Products/1758800860163.jpg,https://www.metro-online.pk/product/406488,94893446,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 6, 'vat_perc': 18, 'mrp_price': 101610.0, 'article_mgb': 343669}",metro,multan,2026-03-11T11:15:01.790093+00:00
metro,multan,406659,Canon Water Heater 7L GAS IGWH-17DD,Canon,Home Appliances,,20900.0,24400.0,PKR,1.0,pcs,20900.0,True,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1759839306880.jpg,https://www.metro-online.pk/product/406659,35895840,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 9, 'vat_perc': 18, 'mrp_price': 20678.0, 'article_mgb': 341172}",metro,multan,2026-03-11T11:15:01.790093+00:00
metro,multan,415962,Enviro Gas Geyser Egwh-600 6L,Enviro,Home Appliances,,16999.0,21999.0,PKR,1.0,pcs,16999.0,True,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1763717439710.jpg,https://www.metro-online.pk/product/415962,25021888,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 34, 'vat_perc': 18, 'mrp_price': 18643.0, 'article_mgb': 340377}",metro,multan,2026-03-11T11:15:01.790093+00:00
metro,multan,406637,Canon Electric Water Heater 78L EWT-80,Canon,Home Appliances,,34401.0,,PKR,1.0,pcs,34401.0,True,https://metro-b2c.s3.amazonaws.com/Products/1759839155800.jpg,https://www.metro-online.pk/product/406637,35895817,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 5, 'vat_perc': 18, 'mrp_price': 29153.0, 'article_mgb': 339461}",metro,multan,2026-03-11T11:15:01.790093+00:00
metro,multan,404379,Dawlance Ac 1.5 Ton Magna Inverter T3 30 W,Dawlance,Home Appliances,,169900.0,,PKR,1.0,pcs,169900.0,True,https://metro-b2c.s3.amazonaws.com/Products/1746523635256.jpg,https://www.metro-online.pk/product/404379,23458181,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 1, 'vat_perc': 18, 'mrp_price': 155339.0, 'article_mgb': 342509}",metro,multan,2026-03-11T11:15:01.790093+00:00
metro,multan,404753,Enviro Ac 1 Ton Inverter T3 Eac-12Hc,Enviro,Home Appliances,,114999.0,113900.0,PKR,1.0,pcs,114999.0,True,https://metro-b2c.s3.amazonaws.com/Products/1755770608813.jpg,https://www.metro-online.pk/product/404753,10854652,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 2, 'vat_perc': 18, 'mrp_price': 108474.0, 'article_mgb': 342368}",metro,multan,2026-03-11T11:15:01.790093+00:00
metro,multan,402967,HAIER AC 1.5T H&C INV 18/19RF,Haier,Home Appliances,,122900.0,128000.0,PKR,1.0,pcs,122900.0,True,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1741325740719.jpg,https://www.metro-online.pk/product/402967,25677224,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 9, 'vat_perc': 18, 'mrp_price': 108475.0, 'article_mgb': 341913}",metro,multan,2026-03-11T11:15:01.790093+00:00
metro,multan,402956,HAIER AC 1TON H&C INV 12/13RF,Haier,Home Appliances,,99900.0,108000.0,PKR,1.0,pcs,99900.0,True,https://metro-b2c.s3.amazonaws.com/Products/1741325672824.jpg,https://www.metro-online.pk/product/402956,25602010,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 5, 'vat_perc': 18, 'mrp_price': 91525.0, 'article_mgb': 341911}",metro,multan,2026-03-11T11:15:01.790093+00:00
metro,multan,403109,HYU 1.5T INV BRIO HAC-18 WIFI,Hyundai,Home Appliances,,156900.0,179900.0,PKR,1.0,pcs,156900.0,True,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1742369476754.jpg,https://www.metro-online.pk/product/403109,68114876,,2026-03-11T11:15:01.790093+00:00,"{'store_id': 21, 'available_stock': 7, 'vat_perc': 18, 'mrp_price': 152458.0, 'article_mgb': 342069}",metro,multan,2026-03-11T11:15:01.790093+00:00
